PVRPTW,number of vehicles,number of customers,maximum duration of a route,maximum load of a vehicle,number of depots,number of days,,,,,,,,,
PVRPTW,18,288,400,175,1,4,,,,,,,,,
customer number,x coordinate,y coordinate,service duration,demand,ET,LT,frequency of visit,number of possible visit combinations,list of all possible visit combinations,,,,,,
1,-66.174,-37.811,13,19,396,492,4,1,0,1,2,3,,,
2,2.673,-35.223,16,21,176,346,4,1,0,1,2,3,,,
3,38.751,8.618,1,17,212,304,4,1,0,1,2,3,,,
4,62.653,20.667,9,6,157,266,4,1,0,1,2,3,,,
5,60.974,-6.11,20,6,345,455,4,1,0,1,2,3,,,
6,-98.535,-39.532,2,19,242,375,4,1,0,1,2,3,,,
7,8.411,-81.274,5,17,383,506,4,1,0,1,2,3,,,
8,-14.569,26.056,10,19,99,261,4,1,0,1,2,3,,,
9,-34.186,-76.697,10,2,440,592,4,1,0,1,2,3,,,
10,55.145,-33.911,25,3,213,324,4,1,0,1,2,3,,,
11,15.869,8.716,2,24,280,388,4,1,0,1,2,3,,,
12,-63.416,-20.282,5,5,343,508,4,1,0,1,2,3,,,
13,-9.357,-42.212,16,9,339,500,4,1,0,1,2,3,,,
14,-53.619,3.729,24,20,325,471,4,1,0,1,2,3,,,
15,53.491,-3.308,7,19,437,573,4,1,0,1,2,3,,,
16,-22.614,-32.794,19,20,154,307,4,1,0,1,2,3,,,
17,39.612,-1.55,15,4,155,269,4,1,0,1,2,3,,,
18,16.705,-22.748,7,3,290,405,4,1,0,1,2,3,,,
19,-51.245,-13.757,16,2,447,579,4,1,0,1,2,3,,,
20,-29.907,14.38,20,23,370,469,4,1,0,1,2,3,,,
21,-70.441,-27.911,21,6,382,545,4,1,0,1,2,3,,,
22,-75.385,-30.811,7,17,221,313,4,1,0,1,2,3,,,
23,10.59,-28.931,17,17,338,483,4,1,0,1,2,3,,,
24,86.34,-45.935,11,3,94,197,4,1,0,1,2,3,,,
25,3.864,34.583,6,16,98,190,4,1,0,1,2,3,,,
26,-37.598,-42.114,4,15,231,344,4,1,0,1,2,3,,,
27,69.44,1.379,16,23,216,349,4,1,0,1,2,3,,,
28,-13.818,1.245,8,15,470,563,4,1,0,1,2,3,,,
29,-27.124,-38.037,13,12,150,300,4,1,0,1,2,3,,,
30,-69.348,-14.734,25,19,408,565,4,1,0,1,2,3,,,
31,58.575,29.346,16,23,276,414,4,1,0,1,2,3,,,
32,58.105,31.702,2,10,429,603,4,1,0,1,2,3,,,
33,-62.25,-16.425,12,23,415,538,4,1,0,1,2,3,,,
34,-66.382,13.586,12,22,314,469,4,1,0,1,2,3,,,
35,68.03,-12.482,14,4,344,491,4,1,0,1,2,3,,,
36,-30.701,-41.681,16,5,367,486,4,1,0,1,2,3,,,
37,-55.389,-51.05,9,1,356,503,4,1,0,1,2,3,,,
38,36.237,-2.655,16,11,110,236,4,1,0,1,2,3,,,
39,-1.215,5.591,2,20,202,347,4,1,0,1,2,3,,,
40,10.278,-23.95,21,25,298,451,4,1,0,1,2,3,,,
41,-7.159,36.859,7,18,376,492,4,1,0,1,2,3,,,
42,-90.204,61.169,3,4,375,544,4,1,0,1,2,3,,,
43,46.368,65.082,5,10,279,416,4,1,0,1,2,3,,,
44,13.348,31.372,12,17,70,219,4,1,0,1,2,3,,,
45,-73.566,-28.839,9,7,174,286,4,1,0,1,2,3,,,
46,-41.528,-37.097,11,4,184,311,4,1,0,1,2,3,,,
47,-60.938,-27.246,17,3,199,292,4,1,0,1,2,3,,,
48,38.312,54.376,10,12,354,471,4,1,0,1,2,3,,,
49,26.306,11.975,5,13,414,567,4,1,0,1,2,3,,,
50,10.297,-48.346,3,24,178,268,4,1,0,1,2,3,,,
51,52.417,-28.363,1,16,202,318,4,1,0,1,2,3,,,
52,-43.756,-39.343,3,2,233,335,4,1,0,1,2,3,,,
53,49.316,11.395,5,7,132,281,4,1,0,1,2,3,,,
54,45.593,4.346,25,15,125,258,4,1,0,1,2,3,,,
55,-25.989,-15.814,14,12,427,535,4,1,0,1,2,3,,,
56,65.253,-59.631,4,15,191,297,4,1,0,1,2,3,,,
57,12.109,-34.387,14,17,400,567,4,1,0,1,2,3,,,
58,12.39,-16.254,20,16,201,363,4,1,0,1,2,3,,,
59,0.525,69.611,5,1,133,310,4,1,0,1,2,3,,,
60,-8.679,7.77,22,9,429,574,4,1,0,1,2,3,,,
61,41.467,-35.016,17,4,374,468,4,1,0,1,2,3,,,
62,11.859,-34.973,19,3,121,292,4,1,0,1,2,3,,,
63,-1.306,-58.063,9,1,232,333,4,1,0,1,2,3,,,
64,6.024,-31.018,16,4,396,549,4,1,0,1,2,3,,,
65,1.788,-32.544,19,6,426,577,4,1,0,1,2,3,,,
66,29.272,-6.494,11,1,324,483,4,1,0,1,2,3,,,
67,23.95,10.742,6,19,306,473,4,1,0,1,2,3,,,
68,-65.887,40.912,23,1,355,454,4,1,0,1,2,3,,,
69,-10.095,26.257,24,2,192,367,4,1,0,1,2,3,,,
70,58.093,67.352,21,25,153,331,4,1,0,1,2,3,,,
71,90.015,9.485,16,4,194,354,4,1,0,1,2,3,,,
72,-6.622,15.216,15,4,391,535,4,1,0,1,2,3,,,
73,-2.875,-42.841,23,13,334,441,2,2,0,2,.,1,3,,
74,-37.714,-7.306,22,18,196,338,2,2,0,2,.,1,3,,
75,44.171,-11.224,21,9,268,446,2,2,0,2,.,1,3,,
76,-58.704,-2.808,21,5,197,300,2,2,0,2,.,1,3,,
77,-3.912,10.071,21,12,69,220,2,2,0,2,.,1,3,,
78,-41.37,-1.495,7,22,364,486,2,2,0,2,.,1,3,,
79,58.179,27.563,15,9,391,527,2,2,0,2,.,1,3,,
80,-63.861,26.147,15,11,66,185,2,2,0,2,.,1,3,,
81,-56.793,-15.918,16,6,84,247,2,2,0,2,.,1,3,,
82,22.217,-27.509,13,19,444,577,2,2,0,2,.,1,3,,
83,-1.031,-14.838,22,10,90,209,2,2,0,2,.,1,3,,
84,-57.703,-10.48,1,1,162,267,2,2,0,2,.,1,3,,
85,80.847,6.299,22,10,373,522,2,2,0,2,.,1,3,,
86,2.887,10.822,24,20,171,302,2,2,0,2,.,1,3,,
87,-37.39,-7.8,6,18,351,475,2,2,0,2,.,1,3,,
88,-33.6,-26.74,5,1,142,266,2,2,0,2,.,1,3,,
89,95.197,24.231,14,11,118,283,2,2,0,2,.,1,3,,
90,-13.904,29.327,19,20,98,243,2,2,0,2,.,1,3,,
91,-53.461,9.296,16,12,318,439,2,2,0,2,.,1,3,,
92,67.578,13.007,20,17,422,590,2,2,0,2,.,1,3,,
93,-83.881,-53.265,12,16,456,622,2,2,0,2,.,1,3,,
94,30.255,-72.43,7,3,306,466,2,2,0,2,.,1,3,,
95,-22.333,-20.538,23,14,255,393,2,2,0,2,.,1,3,,
96,3.741,-35.461,9,12,439,596,2,2,0,2,.,1,3,,
97,-20.093,-43.982,19,9,474,628,2,2,0,2,.,1,3,,
98,-47.687,-21.1,17,1,323,455,2,2,0,2,.,1,3,,
99,-20.447,-13.849,1,7,235,349,2,2,0,2,.,1,3,,
100,34.515,3.967,25,7,224,368,2,2,0,2,.,1,3,,
101,20.514,-11.884,12,5,291,386,2,2,0,2,.,1,3,,
102,-46.039,-22.565,15,9,250,370,2,2,0,2,.,1,3,,
103,-39.63,25.385,16,15,471,616,2,2,0,2,.,1,3,,
104,-1.025,50.433,10,4,246,357,2,2,0,2,.,1,3,,
105,-28.632,23.486,24,10,308,440,2,2,0,2,.,1,3,,
106,-52.997,-16.248,24,21,160,264,2,2,0,2,.,1,3,,
107,-3.345,-22.955,18,2,329,461,2,2,0,2,.,1,3,,
108,-62.64,-26.349,21,6,356,511,2,2,0,2,.,1,3,,
109,25.403,0.531,21,1,410,532,2,2,0,2,.,1,3,,
110,-29.895,72.919,17,23,275,454,2,2,0,2,.,1,3,,
111,26.63,1.971,7,24,233,331,2,2,0,2,.,1,3,,
112,-9.814,35.004,14,16,367,534,2,2,0,2,.,1,3,,
113,-7.758,-42.426,8,18,364,460,2,2,0,2,.,1,3,,
114,28.918,-7.117,2,1,259,429,2,2,0,2,.,1,3,,
115,47.693,36.108,18,1,146,314,2,2,0,2,.,1,3,,
116,-53.168,5.206,10,21,155,245,2,2,0,2,.,1,3,,
117,17.56,13.214,17,8,178,310,2,2,0,2,.,1,3,,
118,6.836,-2.496,20,22,133,300,2,2,0,2,.,1,3,,
119,-17.322,97.26,9,23,115,265,2,2,0,2,.,1,3,,
120,22.406,26.532,25,11,129,240,2,2,0,2,.,1,3,,
121,-73.09,-13.251,6,15,399,562,2,2,0,2,.,1,3,,
122,-64.996,-4.578,16,14,303,418,2,2,0,2,.,1,3,,
123,-34.906,-43.903,11,16,330,448,2,2,0,2,.,1,3,,
124,-92.346,-4.517,9,25,394,572,2,2,0,2,.,1,3,,
125,0.647,-8.496,9,12,259,358,2,2,0,2,.,1,3,,
126,5.048,-37.323,18,9,267,417,2,2,0,2,.,1,3,,
127,-19.08,-14.178,10,20,297,446,2,2,0,2,.,1,3,,
128,-71.704,-11.45,11,22,269,442,2,2,0,2,.,1,3,,
129,-45.581,-28.717,14,13,394,545,2,2,0,2,.,1,3,,
130,-28.351,-23.914,15,24,219,378,2,2,0,2,.,1,3,,
131,-16.486,30.92,19,13,477,648,2,2,0,2,.,1,3,,
132,-83.423,-20.935,25,4,289,410,2,2,0,2,.,1,3,,
133,-12.054,-20.612,10,22,463,584,2,2,0,2,.,1,3,,
134,-7.184,-63.721,11,18,74,175,2,2,0,2,.,1,3,,
135,34.546,-8.881,11,25,92,213,2,2,0,2,.,1,3,,
136,-4.865,73.694,25,19,360,523,2,2,0,2,.,1,3,,
137,-36.005,-3.876,14,8,80,234,2,2,0,2,.,1,3,,
138,-28.4,-21.82,20,13,122,296,2,2,0,2,.,1,3,,
139,-56.281,-15.112,7,1,339,469,2,2,0,2,.,1,3,,
140,-11.017,42.151,1,1,390,506,2,2,0,2,.,1,3,,
141,-63.092,-62.573,15,5,112,207,2,2,0,2,.,1,3,,
142,29.486,79.944,2,2,374,492,2,2,0,2,.,1,3,,
143,-65.674,-0.238,7,22,411,532,2,2,0,2,.,1,3,,
144,46.13,-20.416,21,3,442,578,2,2,0,2,.,1,3,,
145,1.575,-16.364,19,2,144,272,1,4,0,.,1,.,2,.,3
146,40.277,-1.379,17,6,265,439,1,4,0,.,1,.,2,.,3
147,-15.271,42.249,23,19,190,346,1,4,0,.,1,.,2,.,3
148,33.215,-16.614,17,5,423,595,1,4,0,.,1,.,2,.,3
149,-72.388,13.074,20,25,91,201,1,4,0,.,1,.,2,.,3
150,-24.487,5.273,11,9,418,513,1,4,0,.,1,.,2,.,3
151,-6.598,-30.957,1,20,356,449,1,4,0,.,1,.,2,.,3
152,31.287,21.332,11,11,127,282,1,4,0,.,1,.,2,.,3
153,20.557,0.378,15,18,79,179,1,4,0,.,1,.,2,.,3
154,-67.2,-41.339,3,25,144,312,1,4,0,.,1,.,2,.,3
155,22.168,-40.375,21,22,358,450,1,4,0,.,1,.,2,.,3
156,31.165,2.222,5,25,82,226,1,4,0,.,1,.,2,.,3
157,74.634,30.219,11,14,273,391,1,4,0,.,1,.,2,.,3
158,60.699,81.116,6,21,357,473,1,4,0,.,1,.,2,.,3
159,-60.736,24.133,17,1,102,268,1,4,0,.,1,.,2,.,3
160,1.978,17.517,20,9,227,369,1,4,0,.,1,.,2,.,3
161,-80.566,-38.196,10,2,230,345,1,4,0,.,1,.,2,.,3
162,-49.927,-36.713,24,2,129,229,1,4,0,.,1,.,2,.,3
163,-60.449,-27.82,6,4,331,450,1,4,0,.,1,.,2,.,3
164,-78.748,-44.226,18,15,234,357,1,4,0,.,1,.,2,.,3
165,54.26,-9.259,15,11,306,461,1,4,0,.,1,.,2,.,3
166,-42.059,-26.636,6,15,344,474,1,4,0,.,1,.,2,.,3
167,-57.336,-16.718,10,15,429,583,1,4,0,.,1,.,2,.,3
168,-1.276,-13.33,7,16,182,278,1,4,0,.,1,.,2,.,3
